label,message,char_count,word_count,avg_word_length,exclamation_count,financial_words,urgency_words,action_words,phone_numbers,urls,emoji_count,slang_score,language_mix_ratio,capitalization_ratio,profanity_count,url_is_suspicious,url_is_registered,platform,sender_type
ham,"group study at my place 4pm, bring laptop",41,8,4.125,0,0,0,0,0,0,0,0,0,0,0,0,0,Telegram,user
ham,we're meeting at 6pm at the usual spot. don't be late,53,13,3.077,0,0,0,0,0,0,0,0,0,0,0,0,0,Instagram,unknown
ham,"tysm for today, had so much fun ❤️ ठिक छ",40,10,2.7,0,0,1,0,0,0,1,0,0.143,0,0,0,0,Email,unknown
ham,"save this song, it's been on repeat 🎧",37,8,3.375,0,0,0,0,0,0,1,0,0,0,0,0,0,SMS,registered_business
spam,Verify your Telegram account: https://brand.com/redeem (OTP: 4AHY6Q) ⚠️,71,10,5.3,0,0,0,1,0,1,1,0,0,0.127,0,1,1,Instagram,user
ham,did u finish the assignment? i can't 🙃 पनि,42,9,3.333,0,0,0,0,0,0,1,0,0.097,0,0,0,0,Telegram,user
ham,"omw to ur place, 10 min 🎉 https://example.com/offer पनि",55,11,3.545,0,1,0,0,0,1,1,1,0.079,0,0,0,1,SMS,unknown
spam,Get followers — boost package 100 followers followers: https://brand.com/redeem 🚀,81,11,5.818,0,0,0,1,0,1,1,0,0,0.012,0,1,1,Telegram,unknown
ham,u coming to the party tonight? it's gonna be lit 🙂 https://example.com/offer,76,15,3.8,0,1,0,0,0,1,1,1,0,0,0,0,1,Email,business
ham,"phone battery low, using sis's rn. be there soon",48,10,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,SMS,business
spam,Win NFT mint pass! Go https://spotify.com/promo now. Only for followers of @Trendify 🔥,86,15,4.333,1,1,1,0,0,1,1,0,0,0.081,0,0,1,Telegram,business
ham,"call me when free, need to ask something",40,8,4,0,1,0,1,0,0,0,0,0,0,0,0,0,Instagram,business
spam,Verify bank details: https://amazon.com/deal — failure to verify may freeze account 🎉,85,13,5.077,0,1,0,0,0,1,1,0,0,0.012,0,0,1,SMS,user
ham,lol that meme had me dead 🎁 send it again https://example.com/offer,67,13,3.923,0,1,0,1,0,1,1,0,0,0,0,0,1,Email,unknown
ham,we're meeting at 6pm at the usual spot. don't be late धेरै राम्रो,65,18,2.5,0,0,0,0,0,0,0,0,0.204,0,0,0,0,WhatsApp,unknown
ham,"group study at my place 4pm, bring laptop",41,8,4.125,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatsApp,unknown
ham,"call me when free, need to ask something",40,8,4,0,1,0,1,0,0,0,0,0,0,0,0,0,SMS,unknown
ham,screenshot ur notes and send pls,32,6,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,Instagram,registered_business
ham,"phone battery low, using sis's rn. be there soon",48,10,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatsApp,business
ham,srsly need coffee rn ☕ wanna grab? पनि,38,7,4,0,0,0,0,0,0,1,0,0.103,0,0,0,0,WhatsApp,user
ham,u coming to the party tonight? it's gonna be lit 🚀,50,11,3.364,0,0,0,0,0,0,1,1,0,0,0,0,0,Instagram,unknown
spam,Verify bank details: rb.gy/claim — failure to verify may freeze account 😱,73,12,4.75,0,1,0,1,0,1,1,0,0,0.014,0,1,0,SMS,user
ham,"save this song, it's been on repeat 🎧",37,8,3.375,0,0,0,0,0,0,1,0,0,0,0,0,0,Instagram,business
spam,Claim your gift: bit.ly/fomo code U5UL8Q 🎁,42,8,4,0,1,0,1,0,1,1,0,0,0.119,0,1,0,Telegram,registered_business
spam,FREE VIP — use B7VDS1 at rb.gy/claim 🤯 limited 1 per user,57,12,3.5,0,1,1,1,0,1,0,0,0,0.193,0,1,0,Instagram,unknown
ham,lol that meme had me dead ❤️ send it again,42,9,3.444,0,0,0,1,0,0,1,0,0,0,0,0,0,WhatsApp,unknown
ham,u still down for movie? tickets at 7,36,8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatsApp,user
spam,Get followers — boost package 100 followers followers: https://spotify.com/promo 🚀,82,11,5.909,0,0,0,0,0,1,1,0,0,0.012,0,0,1,WhatsApp,unknown
ham,"brb, stuck in class rn. ttyl 🚀 https://example.com/offer",56,10,4.1,0,1,0,0,0,1,1,1,0,0,0,0,1,SMS,unknown
ham,"phone battery low, using sis's rn. be there soon पनि",52,11,3.545,0,0,0,0,0,0,0,0,0.075,0,0,0,0,Instagram,unknown
ham,we're meeting at 6pm at the usual spot. don't be late,53,13,3.077,0,0,0,0,0,0,0,0,0,0,0,0,0,SMS,unknown
spam,FLASH GIVEAWAY! RT + click https://spotify.com/promo to enter. Winners tonight!,79,12,5.083,2,0,0,1,0,1,0,0,0,0.203,0,0,1,SMS,unknown
ham,"ma tard hunchu, 20 min delay. sorry yaar 🤯",42,8,3.875,0,0,0,0,0,0,0,0,0,0,0,0,0,Email,user
ham,u coming to the party tonight? it's gonna be lit 🎉,50,11,3.364,0,0,0,0,0,0,1,1,0,0,0,0,0,Telegram,unknown
spam,Get followers — boost package ₹2000 followers: go.shop/claim 🚀,62,9,5.333,0,0,0,1,0,1,1,0,0,0.016,0,1,0,WhatsApp,unknown
ham,"ma tard hunchu, 20 min delay. sorry yaar ❤️",43,8,3.875,0,0,0,0,0,0,1,0,0,0,0,0,0,WhatsApp,registered_business
ham,"tysm for today, had so much fun ❤️",34,7,3.429,0,0,1,0,0,0,1,0,0,0,0,0,0,Instagram,user
ham,omggg they released season 3!! when r we watching?,50,9,4.333,2,0,0,0,0,0,0,0,0,0,0,0,0,WhatsApp,user
ham,"tysm for today, had so much fun ❤️",34,7,3.429,0,0,1,0,0,0,1,0,0,0,0,0,0,WhatsApp,unknown
spam,Get followers — boost package $50 followers: tiny.one/drops 🚀,61,9,5.222,0,0,0,0,0,1,1,0,0,0.016,0,1,0,Instagram,user
ham,"tysm for today, had so much fun ❤️",34,7,3.429,0,0,1,0,0,0,1,0,0,0,0,0,0,SMS,unknown
ham,srsly need coffee rn ☕ wanna grab? https://brand.com/redeem,59,10,4.5,0,0,0,1,0,1,1,0,0,0,0,1,1,Instagram,unknown
spam,Claim your gift: bit.ly/fomo code 56NJAD 🎁,42,8,4,0,1,0,1,0,1,1,0,0,0.119,0,1,0,Instagram,unknown
ham,screenshot ur notes and send pls ठीक छ,38,9,3.333,0,0,0,1,0,0,0,0,0.129,0,0,0,0,Instagram,business
spam,Earn ₹2000/week from phone. Apply: https://brand.com/redeem 💸,61,10,4.5,0,0,0,1,0,1,1,0,0,0.033,0,1,1,Email,unknown
ham,"phone battery low, using sis's rn. be there soon",48,10,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatsApp,business
spam,FREE VIP — use GOHQER at https://spotify.com/promo 🤯 limited 1 per user,71,13,4.077,0,1,1,0,0,1,0,0,0,0.183,0,0,1,Telegram,unknown
ham,happy bday!!! gonna cake u later 🚀,34,6,4,3,0,0,0,0,0,1,0,0,0,0,0,0,Instagram,user
ham,ikr that vid was insane 🤯 showed it to mom lol,46,10,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,Instagram,business
spam,Claim your gift: go.shop/claim code 4H6L0D 🎁,44,8,4.25,0,1,0,2,0,1,1,0,0,0.091,0,1,0,Telegram,business
spam,Limited drop: 90% off drip bundle — visit bit.ly/fomo T&C apply,63,13,3.615,0,0,1,0,0,1,0,0,0,0.048,0,1,0,Telegram,unknown
spam,FLASH GIVEAWAY! RT + click go.shop/claim to enter. Winners tonight!,67,11,4.727,2,0,0,2,0,1,0,0,0,0.239,0,1,0,Email,unknown
spam,Verify your SnapGram account: tiny.one/drops (OTP: A6G7R8) ⚠️,61,9,5.111,0,0,0,0,0,1,1,0,0,0.148,0,1,0,WhatsApp,unknown
ham,pls pick up milk + eggs on ur way home?,39,9,3.111,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatsApp,unknown
ham,omggg they released season 3!! when r we watching?,50,9,4.333,2,0,0,0,0,0,0,0,0,0,0,0,0,WhatsApp,user
ham,"phone battery low, using sis's rn. be there soon https://spotify.com/promo",74,14,4.071,0,0,0,0,0,1,0,0,0,0,0,0,1,Telegram,unknown
spam,Parcel held — release with link t.ly/win or call 27714 to avoid return ⚠️,73,14,3.929,0,1,0,1,1,1,1,0,0,0.014,0,1,0,Telegram,user
ham,"omw to ur place, 10 min 😂 ठिक छ",31,9,2.222,0,0,0,0,0,0,1,1,0.211,0,0,0,0,WhatsApp,user
spam,Verify bank details: t.ly/win — failure to verify may freeze account ⚠️,71,12,4.5,0,2,0,0,0,1,1,0,0,0.014,0,1,0,SMS,unknown
ham,"ma tard hunchu, 20 min delay. sorry yaar 😱",42,8,3.875,0,0,0,0,0,0,1,0,0,0,0,0,0,Email,user
ham,"call me when free, need to ask something",40,8,4,0,1,0,1,0,0,0,0,0,0,0,0,0,Instagram,user
ham,u still down for movie? tickets at 7,36,8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,SMS,business
spam,TXT WIN to 19273 to get concert tix 🎶 hurry!,44,9,3.667,1,1,1,0,1,0,1,0,0,0.136,0,0,0,SMS,business
ham,we're meeting at 6pm at the usual spot. don't be late,53,13,3.077,0,0,0,0,0,0,0,0,0,0,0,0,0,Email,registered_business
spam,🔥 Drop alert! Exclusive gift card on @NeoWear. Claim: rb.gy/claim ⚠️,68,11,4.455,1,1,0,2,0,1,2,0,0,0.074,0,1,0,Instagram,business
spam,FREE VIP — use 50IR1H at go.shop/claim 🤯 limited 1 per user,59,12,3.667,0,1,1,1,0,1,0,0,0,0.169,0,1,0,WhatsApp,unknown
ham,screenshot ur notes and send pls,32,6,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,SMS,unknown
ham,"phone battery low, using sis's rn. be there soon धेरै राम्रो",60,15,2.8,0,0,0,0,0,0,0,0,0.213,0,0,0,0,Instagram,registered_business
ham,"tysm for today, had so much fun ❤️ https://spotify.com/promo",60,11,4,0,0,1,0,0,1,1,0,0,0,0,0,1,WhatsApp,unknown
spam,🔥 Drop alert! Exclusive rare NFT on @Trendify. Claim: https://amazon.com/deal 🎉,79,12,4.833,1,0,0,1,0,1,2,0,0,0.089,0,0,1,Instagram,user
spam,Get followers — boost package $100 followers: linktr.ee/deal 🚀,62,9,5.333,0,0,0,0,0,1,1,0,0,0.016,0,1,0,SMS,business
ham,srsly need coffee rn ☕ wanna grab?,34,6,4.333,0,0,0,0,0,0,1,0,0,0,0,0,0,WhatsApp,unknown
spam,Claim your gift: https://example.com/offer code ZH9449 🎁,56,9,4.778,0,2,0,1,0,1,1,0,0,0.054,0,0,1,SMS,unknown
ham,"ma tard hunchu, 20 min delay. sorry yaar 💸",42,8,3.875,0,0,0,0,0,0,1,0,0,0,0,0,0,SMS,unknown
ham,"phone battery low, using sis's rn. be there soon",48,10,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,SMS,unknown
spam,Parcel held — release with link linktr.ee/deal or call 82119 to avoid return ✨,78,14,4.357,0,0,0,1,1,1,1,0,0,0.013,0,1,0,Telegram,unknown
ham,"call me when free, need to ask something पनि",44,9,3.778,0,1,0,1,0,0,0,0,0.086,0,0,0,0,Telegram,unknown
ham,lol that meme had me dead 🎁 send it again,41,9,3.444,0,0,0,1,0,0,1,0,0,0,0,0,0,Email,unknown
spam,Limited drop: 90% off drip bundle — visit rb.gy/claim T&C apply,63,13,3.615,0,0,1,1,0,1,0,0,0,0.048,0,1,0,Email,unknown
ham,"omw to ur place, 10 min 😂",25,6,2.833,0,0,0,0,0,0,1,1,0,0,0,0,0,Telegram,user
ham,happy bday!!! gonna cake u later 🤯,34,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,Email,user
spam,Parcel held — release with link https://spotify.com/promo or call 81842 to avoid return ❤️,90,15,4.6,0,0,0,1,1,1,1,0,0,0.011,0,0,1,Instagram,business
ham,happy bday!!! gonna cake u later 😱,34,6,4,3,0,0,0,0,0,1,0,0,0,0,0,0,SMS,user
spam,Low-key insane cashback $50 when you shop at https://brand.com/redeem 💸 use 5EW1Q1,82,15,4.2,0,1,0,1,0,1,1,0,0,0.049,0,1,1,Instagram,unknown
spam,Win NFT mint pass! Go linktr.ee/deal now. Only for followers of @ChaatApp 🔥,75,14,4.071,1,1,1,0,0,1,1,0,0,0.107,0,1,0,SMS,user
ham,"tysm for today, had so much fun ❤️ ठिक छ",40,10,2.7,0,0,1,0,0,0,1,0,0.143,0,0,0,0,Email,user
ham,u coming to the party tonight? it's gonna be lit 😂,50,11,3.364,0,0,0,0,0,0,1,1,0,0,0,0,0,Email,user
ham,"phone battery low, using sis's rn. be there soon धेरै राम्रो",60,15,2.8,0,0,0,0,0,0,0,0,0.213,0,0,0,0,Email,business
spam,Parcel held — release with link https://spotify.com/promo or call 27194 to avoid return ⚠️,90,15,4.6,0,0,0,1,1,1,1,0,0,0.011,0,0,1,Instagram,business
spam,🔥 Drop alert! Exclusive drip bundle on @HypeStore. Claim: https://example.com/offer 😂,85,12,5.333,1,1,0,1,0,1,2,0,0,0.059,0,0,1,Telegram,business
spam,Verify your Instagram account: t.ly/win (OTP: 9SJ74C) ⚠️,56,9,4.556,0,1,0,0,0,1,1,0,0,0.143,0,1,0,SMS,business
ham,"phone battery low, using sis's rn. be there soon ठिक छ",54,13,3.077,0,0,0,0,0,0,0,0,0.098,0,0,0,0,SMS,business
spam,Claim your gift: https://brand.com/redeem code RFBAJ5 🎁,55,9,4.667,0,1,0,2,0,1,1,0,0,0.109,0,1,1,SMS,registered_business
ham,pls pick up milk + eggs on ur way home?,39,9,3.111,0,0,0,0,0,0,0,0,0,0,0,0,0,Telegram,business
spam,FREE VIP — use TQ98D1 at https://amazon.com/deal 🤯 limited 1 per user,69,13,3.923,0,1,1,0,0,1,0,0,0,0.145,0,0,1,Email,registered_business
ham,u coming to the party tonight? it's gonna be lit 🚀,50,11,3.364,0,0,0,0,0,0,1,1,0,0,0,0,0,SMS,unknown
ham,lol that meme had me dead 🙂 send it again,41,9,3.444,0,0,0,1,0,0,1,0,0,0,0,0,0,Email,unknown
ham,srsly need coffee rn ☕ wanna grab? ठिक छ,40,9,3.222,0,0,0,0,0,0,1,0,0.133,0,0,0,0,WhatsApp,unknown
ham,lol that meme had me dead ❤️ send it again,42,9,3.444,0,0,0,1,0,0,1,0,0,0,0,0,0,WhatsApp,unknown
ham,u still down for movie? tickets at 7,36,8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Email,unknown
ham,omggg they released season 3!! when r we watching? https://amazon.com/deal पनि,78,14,4.214,2,0,0,0,0,1,0,0,0.051,0,0,0,1,Instagram,business
ham,omggg they released season 3!! when r we watching?,50,9,4.333,2,0,0,0,0,0,0,0,0,0,0,0,0,Telegram,unknown
ham,pls pick up milk + eggs on ur way home? धेरै राम्रो,51,14,2.357,0,0,0,0,0,0,0,0,0.263,0,0,0,0,SMS,user
spam,Influencer collab — DM YES or check tiny.one/drops ✨ @GlowUp,60,10,4.6,0,0,0,1,0,1,1,1,0,0.133,0,1,0,Telegram,business
ham,lol that meme had me dead 🚀 send it again,41,9,3.444,0,0,0,1,0,0,1,0,0,0,0,0,0,Email,business
ham,did u finish the assignment? i can't 🙃,38,8,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,SMS,user
ham,"phone battery low, using sis's rn. be there soon",48,10,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Telegram,unknown
spam,Get followers — boost package 100 followers followers: https://amazon.com/deal 🚀,80,11,5.727,0,0,0,0,0,1,1,0,0,0.013,0,0,1,Telegram,unknown
spam,TXT WIN to 21036 to get concert tix 🎶 hurry!,44,9,3.667,1,1,1,0,1,0,1,0,0,0.136,0,0,0,WhatsApp,unknown
spam,FREE VIP — use 6IP416 at https://example.com/offer 🤯 limited 1 per user,71,13,4.077,0,2,1,0,0,1,0,0,0,0.127,0,0,1,WhatsApp,unknown
ham,screenshot ur notes and send pls ठिक छ,38,9,3.333,0,0,0,1,0,0,0,0,0.129,0,0,0,0,SMS,unknown
ham,"group study at my place 4pm, bring laptop",41,8,4.125,0,0,0,0,0,0,0,0,0,0,0,0,0,SMS,unknown
spam,Get followers — boost package 100 followers followers: go.shop/claim 🚀,70,10,5.6,0,0,0,1,0,1,1,0,0,0.014,0,1,0,Instagram,user
ham,"phone battery low, using sis's rn. be there soon https://brand.com/redeem",73,14,4,0,0,0,1,0,1,0,0,0,0,0,1,1,Telegram,user
ham,srsly need coffee rn ☕ wanna grab?,34,6,4.333,0,0,0,0,0,0,1,0,0,0,0,0,0,WhatsApp,unknown
ham,"call me when free, need to ask something ठीक छ",46,11,3.182,0,1,0,1,0,0,0,0,0.111,0,0,0,0,WhatsApp,unknown
ham,lol that meme had me dead 🙂 send it again,41,9,3.444,0,0,0,1,0,0,1,0,0,0,0,0,0,SMS,business
spam,FLASH GIVEAWAY! RT + click t.ly/win to enter. Winners tonight!,62,11,4.273,2,1,0,1,0,1,0,0,0,0.258,0,1,0,Instagram,verified
spam,Parcel held — release with link t.ly/win or call 44172 to avoid return ❤️,73,14,3.929,0,1,0,1,1,1,1,0,0,0.014,0,1,0,WhatsApp,registered_business
spam,Earn 100 followers/week from phone. Apply: https://amazon.com/deal 💸,68,11,4.727,0,0,0,0,0,1,1,0,0,0.029,0,0,1,Email,business
ham,"omw to ur place, 10 min 🚀",25,6,2.833,0,0,0,0,0,0,1,1,0,0,0,0,0,Email,unknown
ham,"call me when free, need to ask something ठिक छ",46,11,3.182,0,1,0,1,0,0,0,0,0.111,0,0,0,0,WhatsApp,user
spam,Verify your SnapGram account: rb.gy/claim (OTP: LNXL50) ⚠️,58,9,4.778,0,0,0,1,0,1,1,0,0,0.172,0,1,0,Telegram,user
ham,pls pick up milk + eggs on ur way home?,39,9,3.111,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatsApp,unknown
ham,happy bday!!! gonna cake u later 😂,34,6,4,3,0,0,0,0,0,1,0,0,0,0,0,0,SMS,business
ham,screenshot ur notes and send pls,32,6,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,Email,user
